epoch,step,test_MulticlassAccuracy,test_MulticlassF1Score,test_MulticlassPrecision,test_MulticlassRecall,test_loss,train_MulticlassAccuracy,train_MulticlassF1Score,train_MulticlassPrecision,train_MulticlassRecall,train_loss,val_MulticlassAccuracy,val_MulticlassF1Score,val_MulticlassPrecision,val_MulticlassRecall,val_loss
0,66,,,,,,,,,,,0.7283434867858887,0.7405112385749817,0.7522662281990051,0.7410776615142822,0.8042728304862976
0,66,,,,,,0.515894889831543,0.5414402484893799,0.5541600584983826,0.555063009262085,1.242233395576477,,,,,
1,133,,,,,,,,,,,0.8173663020133972,0.8269939422607422,0.8361127376556396,0.8250524997711182,0.5287657380104065
1,133,,,,,,0.7616825103759766,0.7803090214729309,0.7805323600769043,0.7834811210632324,0.6513405442237854,,,,,
2,200,,,,,,,,,,,0.8547263145446777,0.8662737607955933,0.8693450689315796,0.866340160369873,0.4107173681259155
2,200,,,,,,0.8252914547920227,0.8394352197647095,0.8393255472183228,0.8408772945404053,0.4568772315979004,,,,,
3,267,,,,,,,,,,,0.8688836693763733,0.8862669467926025,0.8876796960830688,0.8873338103294373,0.34049052000045776
3,267,,,,,,0.8705563545227051,0.880723774433136,0.8808064460754395,0.8812412619590759,0.35664665699005127,,,,,
4,334,,,,,,,,,,,0.8856285214424133,0.9023594856262207,0.9035378694534302,0.9034289717674255,0.2903030514717102
4,334,,,,,,0.8915646076202393,0.900169849395752,0.9001143574714661,0.9006065726280212,0.2845628261566162,,,,,
5,401,,,,,,,,,,,0.895250141620636,0.9129672646522522,0.914780855178833,0.9139257669448853,0.26793262362480164
5,401,,,,,,0.9184149503707886,0.9257568717002869,0.925662100315094,0.9260382652282715,0.23210158944129944,,,,,
6,468,,,,,,,,,,,0.8994507193565369,0.91011643409729,0.9133020639419556,0.9104268550872803,0.25924813747406006
6,468,,,,,,0.9288296103477478,0.9338526129722595,0.9338601231575012,0.9339710474014282,0.19911421835422516,,,,,
7,535,,,,,,,,,,,0.9117160439491272,0.9221895933151245,0.9239652156829834,0.9223233461380005,0.2340674251317978
7,535,,,,,,0.9422743320465088,0.9468854069709778,0.9469371438026428,0.947036862373352,0.15952935814857483,,,,,
8,602,,,,,,,,,,,0.9073228240013123,0.9193227291107178,0.9217085242271423,0.9195241332054138,0.23697640001773834
8,602,,,,,,0.9526371955871582,0.9571782946586609,0.9571899771690369,0.9573028683662415,0.13156470656394958,,,,,
9,669,,,,,,,,,,,0.9111035466194153,0.9227721691131592,0.9246953725814819,0.9230231046676636,0.22508829832077026
9,669,,,,,,0.959475040435791,0.9626389741897583,0.9626392126083374,0.9626691341400146,0.11142504215240479,,,,,
10,736,,,,,,,,,,,0.9216987490653992,0.9345555305480957,0.9358763694763184,0.934919536113739,0.20083987712860107
10,736,,,,,,0.9664645791053772,0.9698664546012878,0.9698542356491089,0.9699020385742188,0.09931987524032593,,,,,
11,803,,,,,,,,,,,0.9230862855911255,0.9352911114692688,0.9362798929214478,0.9356193542480469,0.19278831779956818
11,803,,,,,,0.9695242643356323,0.971752405166626,0.9717630743980408,0.9717685580253601,0.08413569629192352,,,,,
12,870,,,,,,,,,,,0.9281218647956848,0.9369703531265259,0.9385718107223511,0.937018871307373,0.19136808812618256
12,870,,,,,,0.9771347045898438,0.9792174100875854,0.9792343378067017,0.9792346954345703,0.06834112852811813,,,,,
13,937,,,,,,,,,,,0.93375563621521,0.9424681067466736,0.9432898759841919,0.9426172375679016,0.18353299796581268
13,937,,,,,,0.9807624220848083,0.9818035960197449,0.9818118810653687,0.9818012118339539,0.0655745267868042,,,,,
14,1004,,,,,,,,,,,0.9282466173171997,0.9401540756225586,0.941227912902832,0.9405179023742676,0.1954655647277832
14,1004,,,,,,0.9795446991920471,0.9815486669540405,0.9815383553504944,0.9815678596496582,0.05902853235602379,,,,,
15,1071,,,,,,,,,,,0.930216908454895,0.9410136342048645,0.9419465065002441,0.9412176609039307,0.19616855680942535
15,1071,,,,,,0.9812458753585815,0.9829426407814026,0.9829484820365906,0.9829677939414978,0.049107469618320465,,,,,
16,1138,,,,,,,,,,,0.9369389414787292,0.9413515329360962,0.942729651927948,0.9412176609039307,0.2013547420501709
16,1138,,,,,,0.9865686893463135,0.9876316785812378,0.9876324534416199,0.9876341819763184,0.04354027658700943,,,,,
17,1205,,,,,,,,,,,0.9329285621643066,0.9404915571212769,0.9407907128334045,0.9405178427696228,0.19335094094276428
17,1205,,,,,,0.9873315691947937,0.9880921840667725,0.988097608089447,0.9881008267402649,0.04103139042854309,,,,,
18,1272,,,,,,,,,,,0.9429284334182739,0.9488555192947388,0.9494513869285583,0.9489153027534485,0.19578509032726288
18,1272,,,,,,0.9896882176399231,0.9899661540985107,0.9899751543998718,0.9899673461914062,0.035503730177879333,,,,,
19,1273,0.9276933670043945,0.9332889914512634,0.9339405298233032,0.9335199594497681,0.22662043571472168,,,,,,,,,,
