epoch,step,test_MulticlassAccuracy,test_MulticlassF1Score,test_MulticlassPrecision,test_MulticlassRecall,test_loss,train_MulticlassAccuracy,train_MulticlassF1Score,train_MulticlassPrecision,train_MulticlassRecall,train_loss,val_MulticlassAccuracy,val_MulticlassF1Score,val_MulticlassPrecision,val_MulticlassRecall,val_loss
0,66,,,,,,,,,,,0.7984912395477295,0.8151070475578308,0.8213108777999878,0.8145556449890137,0.5415741801261902
0,66,,,,,,0.615230143070221,0.6399704217910767,0.6637316942214966,0.6514232754707336,1.0198416709899902,,,,,
1,133,,,,,,,,,,,0.8832022547721863,0.8970545530319214,0.8989924192428589,0.8971308469772339,0.32418134808540344
1,133,,,,,,0.8732067942619324,0.8830259442329407,0.8829626441001892,0.883574366569519,0.34659597277641296,,,,,
2,200,,,,,,,,,,,0.9182695746421814,0.9315028190612793,0.9324110150337219,0.9321203827857971,0.2112680822610855
2,200,,,,,,0.9313176870346069,0.9370778799057007,0.9370627999305725,0.9372375011444092,0.1885480135679245,,,,,
3,267,,,,,,,,,,,0.9302889108657837,0.9375961422920227,0.9378076791763306,0.9377186894416809,0.1827607899904251
3,267,,,,,,0.956332802772522,0.9605043530464172,0.9605589509010315,0.9605693221092224,0.12006618827581406,,,,,
4,334,,,,,,,,,,,0.9344180822372437,0.948370635509491,0.9497469067573547,0.9489153623580933,0.1616622656583786
4,334,,,,,,0.9732173681259155,0.9759414792060852,0.9759423136711121,0.9759682416915894,0.07999632507562637,,,,,
5,401,,,,,,,,,,,0.9430034160614014,0.953554093837738,0.9544416666030884,0.9538138508796692,0.1539093255996704
5,401,,,,,,0.9802532196044922,0.9815643429756165,0.981566309928894,0.9815678596496582,0.059175390750169754,,,,,
6,468,,,,,,,,,,,0.949170708656311,0.9577934741973877,0.9578813314437866,0.9580126404762268,0.13729679584503174
6,468,,,,,,0.9860789775848389,0.9871598482131958,0.9871702194213867,0.987167477607727,0.039813749492168427,,,,,
7,535,,,,,,,,,,,0.9484632611274719,0.9536600112915039,0.95406174659729,0.953813910484314,0.1414971798658371
7,535,,,,,,0.9930812120437622,0.9934646487236023,0.9934667348861694,0.9934670925140381,0.026598380878567696,,,,,
8,602,,,,,,,,,,,0.947937548160553,0.9509912729263306,0.951305627822876,0.9510147571563721,0.14754140377044678
8,602,,,,,,0.9908264875411987,0.991365909576416,0.9913715124130249,0.9913672208786011,0.02984580770134926,,,,,
9,669,,,,,,,,,,,0.9525561332702637,0.9593040943145752,0.9595738053321838,0.959412157535553,0.1378575712442398
9,669,,,,,,0.9925497770309448,0.9930014610290527,0.9930062890052795,0.9930005073547363,0.023335177451372147,,,,,
10,736,,,,,,,,,,,0.9541652798652649,0.96003258228302,0.9600963592529297,0.9601119756698608,0.1457633376121521
10,736,,,,,,0.9935309290885925,0.9941612482070923,0.9941647052764893,0.9941670894622803,0.021620318293571472,,,,,
11,803,,,,,,,,,,,0.9462697505950928,0.9515652656555176,0.9524508714675903,0.9517145156860352,0.15922130644321442
11,803,,,,,,0.9945299625396729,0.9951006174087524,0.9951027631759644,0.9951003789901733,0.017860012128949165,,,,,
12,804,0.9512327313423157,0.9529494047164917,0.9535739421844482,0.9531140327453613,0.16993513703346252,,,,,,,,,,
